data,stato,ricoverati con sintomi,terapia intensiva,totale ospedalizzati,isolamento domiciliare,totale positivi,variazione totale positivi,nuovi positivi,dimessi guariti,deceduti,casi da sospetto diagnostico,casi da screening,totale casi,tamponi,casi testati,note,"positivi/tamponi","tamponi giorno","deceduti giorno","record tamponi","record casi","record decessi","media casi 7gg","media variaz. 7gg"
2020-02-24T18:00:00,ITA,101,26,127,94,221,0,221,1,7,,,229,4324,,,0.0511101,4324,7,4324,221,7,0,0
2020-02-25T18:00:00,ITA,114,35,150,162,311,90,93,1,10,,,322,8623,,,0.0216329,4299,3,4324,221,7,0,0
2020-02-26T18:00:00,ITA,128,36,164,221,385,74,78,3,12,,,400,9587,,,0.0809129,964,2,4324,221,7,0,0
2020-02-27T18:00:00,ITA,248,56,304,284,588,203,250,45,17,,,650,12014,,,0.103008,2427,5,4324,250,7,0,0
2020-02-28T18:00:00,ITA,345,64,409,412,821,233,238,46,21,,,888,15695,,,0.0646563,3681,4,4324,250,7,0,0
2020-02-29T18:00:00,ITA,401,105,506,543,1049,228,240,50,29,,,1128,18661,,,0.0809171,2966,8,4324,250,8,0,0
2020-03-01T18:00:00,ITA,639,140,779,798,1577,528,566,83,34,,,1694,21127,,,0.229521,2466,5,4324,566,8,0,0
2020-03-02T18:00:00,ITA,742,166,908,927,1835,258,342,149,52,,,2036,23345,,,0.154193,2218,18,4324,566,18,258,460
2020-03-03T18:00:00,ITA,1034,229,1263,1000,2263,428,466,160,79,,,2502,25856,,,0.185583,2511,27,4324,566,27,311,619
2020-03-04T18:00:00,ITA,1346,295,1641,1065,2706,443,587,276,107,,,3089,29837,,,0.14745,3981,28,4324,587,28,384,830
2020-03-05T18:00:00,ITA,1790,351,2141,1155,3296,590,769,414,148,,,3858,32362,,,0.304554,2525,41,4324,769,41,458,1092
2020-03-06T18:00:00,ITA,2394,462,2856,1060,3916,620,778,523,197,,,4636,36359,,,0.194646,3997,49,4324,778,49,535,1442
2020-03-07T18:00:00,ITA,2651,567,3218,1843,5061,1145,1247,589,233,,,5883,42062,,pd-IT-0003,0.218657,5703,36,5703,1247,49,679,1829
2020-03-08T18:00:00,ITA,3557,650,4207,2180,6387,1326,1492,622,366,,,7375,49937,,,0.18946,7875,133,7875,1492,133,811,2319
