2020-12-27,SIC,20-29,0,3,3,0,0
2020-12-27,SIC,30-39,4,5,9,0,0
2020-12-27,SIC,40-49,8,5,11,2,0
2020-12-27,SIC,50-59,13,5,14,0,4
2020-12-27,SIC,60-69,19,6,22,0,3
2020-12-27,SIC,70-79,9,4,4,0,9
2020-12-27,SIC,80-89,2,6,0,0,8
2020-12-27,SIC,90+,0,1,0,0,1
2020-12-28,SIC,20-29,14,14,28,0,0
2020-12-28,SIC,30-39,25,20,45,0,0
2020-12-28,SIC,40-49,23,20,43,0,0
2020-12-28,SIC,50-59,29,16,43,2,0
2020-12-28,SIC,60-69,37,16,53,0,0
2020-12-29,SIC,20-29,9,7,16,0,0
2020-12-29,SIC,30-39,27,25,52,0,0
2020-12-29,SIC,40-49,34,21,55,0,0
2020-12-29,SIC,50-59,30,21,51,0,0
2020-12-29,SIC,60-69,46,15,61,0,0
2020-12-30,SIC,20-29,27,14,28,13,0
2020-12-30,SIC,30-39,33,34,67,0,0
2020-12-30,SIC,40-49,30,21,49,2,0
2020-12-30,SIC,50-59,32,15,44,3,0
2020-12-30,SIC,60-69,20,13,30,3,0
2020-12-31,SIC,16-19,2,0,0,2,0
2020-12-31,SIC,20-29,63,80,140,3,0
2020-12-31,SIC,30-39,79,85,152,12,0
2020-12-31,SIC,40-49,102,101,193,10,0
2020-12-31,SIC,50-59,136,98,218,16,0
2020-12-31,SIC,60-69,93,50,135,8,0
2020-12-31,SIC,70-79,6,0,6,0,0
2021-01-01,SIC,16-19,1,0,0,1,0
2021-01-01,SIC,20-29,72,89,153,8,0
2021-01-01,SIC,30-39,76,82,145,13,0
2021-01-01,SIC,40-49,98,84,166,16,0
2021-01-01,SIC,50-59,101,89,165,25,0
2021-01-01,SIC,60-69,77,34,98,13,0
2021-01-01,SIC,70-79,8,0,8,0,0
2021-01-02,SIC,16-19,1,3,0,4,0
2021-01-02,SIC,20-29,263,321,519,65,0
2021-01-02,SIC,30-39,428,434,770,92,0
2021-01-02,SIC,40-49,517,591,988,120,0
2021-01-02,SIC,50-59,766,672,1256,182,0
2021-01-02,SIC,60-69,612,350,863,99,0
2021-01-02,SIC,70-79,9,3,6,6,0
2021-01-02,SIC,80-89,1,0,0,1,0
2021-01-02,SIC,90+,1,0,0,1,0
2021-01-03,SIC,16-19,4,1,3,2,0
2021-01-03,SIC,20-29,271,310,563,18,0
2021-01-03,SIC,30-39,429,447,827,49,0
2021-01-03,SIC,40-49,509,548,946,111,0
2021-01-03,SIC,50-59,710,621,1225,106,0
2021-01-03,SIC,60-69,513,310,772,51,0
2021-01-03,SIC,70-79,20,3,18,5,0
2021-01-03,SIC,90+,0,1,0,1,0
2021-01-04,SIC,16-19,6,4,3,7,0
2021-01-04,SIC,20-29,348,449,730,67,0
2021-01-04,SIC,30-39,725,741,1348,118,0
2021-01-04,SIC,40-49,831,1018,1620,229,0
2021-01-04,SIC,50-59,1193,1316,2265,243,1
2021-01-04,SIC,60-69,1018,665,1565,118,0
2021-01-04,SIC,70-79,50,8,47,10,1
2021-01-04,SIC,80-89,2,4,1,1,4
